# CBT player-team season seed generated from OOTP import_export career stats.
# OOTP numeric player ids and team ids are intentionally omitted because they can change per save.
# KBO Futures affiliates are folded into parent KBO club codes; Sangmu is excluded.
player_key,last_name,first_name,team_code,season_count
bae---001min,Bae,Min-Gwan,LG,7
bae---002min,Bae,Min-seo,HH,2
bae---002min,Bae,Min-seo,NC,4
bae---001san,Bae,Sang-ho,NC,2
kbo_54504,Bae,Se-jong,LOT,1
bae---000sun,Bae,Seong-geun,LOT,7
bae---000seu,Bae,Seung-su,HH,1
pae---000soo,Bae,Su-Hui,LG,1
bae---000soo,Bae,Suk-hyeon,LOT,1
bae---000woo,Bae,U-yeol,LG,3
bae---000woo,Bae,U-yeol,kt,6
kbo_5112,Bae,Won-Nam,KIA,1
pae---000won,Bae,Won-yeong,DOO,1
pae---000won,Bae,Won-yeong,HH,1
bae---001you,Bae,Yeong-bin,LOT,1
bae---000yeo,Bae,Yeong-seop,SAM,8
bae---000yeo,Bae,Yeong-seop,SSG,1
bae---000you,Bae,Yeong-su,DOO,1
bae---000you,Bae,Yeong-su,HH,4
bae---000you,Bae,Yeong-su,SAM,14
kbo_60100,Baek,Chang-su,HH,2
kbo_60100,Baek,Chang-su,LG,6
kbo_9882,Baek,Cheol-ho,LOT,2
kbo_9883,Baek,Cheol-min,DOO,4
paek--000dae,Baek,Dae-Un,DOO,1
kbo_5226,Baek,Do-hyeon,SAM,1
paek--000min,Baek,Dong-hun,DOO,4
paek--000min,Baek,Dong-hun,LOT,4
baek--000dus,Baek,Du-san,LOT,2
kbo_50632,Baek,Hyeon-jong,KIA,1
kbo_53007,Baek,Hyeon-su,kt,1
haku--000jin,Baek,In-cheon,LG,2
paek--002in-,Baek,In-ho,KIA,8
paek--000in-,Baek,In-sik,LG,1
paek--000in-,Baek,In-sik,SSG,6
kbo_75113,Baek,Ja-Ryong,LG,2
baek--000jae,Baek,Jae-ho,HH,11
kbo_61567,Baek,Jae-yeop,KIA,3
kbo_61567,Baek,Jae-yeop,LOT,1
baek--000jeo,Baek,Jeong-hun,KIA,2
paek--000jeo,Baek,Jeong-hyeon,SAM,18
baek--001jin,Baek,Jin-su,KIW,3
baek--000jin,Baek,Jin-u,DOO,5
kbo_64409,Baek,Jong-heon,SAM,3
kbo_51205,Baek,Jong-su,DOO,1
kbo_54814,Baek,Jun-seo,SSG,2
paek--000jun,Baek,Jun-yeong,SAM,4
kbo_68617,Baek,Mi-Ka-El,KIA,4
kbo_67265,Baek,Min-gyu,DOO,4
kbo_63138,Baek,Nam-Won,LG,4
paek--000san,Baek,Sang-won,SAM,7
kbo_68096,Baek,Seon-gi,LG,2
kbo_68096,Baek,Seon-gi,kt,4
kbo_5281,Baek,Seong-Chil,HH,1
baek--000seu,Baek,Seung-geon,SSG,5
paek--000seu,Baek,Seung-hun,DOO,3
paek--002seu,Baek,Seung-hyeon,LG,9
kbo_63706,Baek,Seung-jun,HH,1
paek--003seu,Baek,Seung-min,SAM,6
paek--001seu,Baek,Seung-ryong,HH,7
baek--001seu,Baek,Seung-u,DOO,2
kbo_52650,Baek,Song-Ha,KIA,1
kbo_61532,Baek,Wang-Jung,LOT,3
paek--000yon,Baek,Yong-hwan,HH,2
paek--000yon,Baek,Yong-hwan,KIA,12
baerga001car,Baerga,Carlos,SAM,1
baerlo001rya,Baerlocher,Ryan,LG,1
baker-001sco,Baker,Scott,SAM,1
balazo000jor,Balazovic,Jordan,DOO,1
baldir001aar,Baldiris,Aarom,SAM,1
balest001col,Balester,Collin,SAM,1
bang--000don,Bang,Dong-min,KIA,4
bang--000don,Bang,Dong-min,LG,6
kbo_65247,Bang,Geon-u,DOO,2
bang--000gi-,Bang,Gi-Man,LOT,1
kbo_61563,Bang,Him-chan,LOT,1
kbo_99745,Bang,Jae-hun,HH,2
pang--000jin,Bang,Jin-ho,HH,3
kbo_5283,Bang,Seok-Ho,KIA,1
pang--000seu,Bang,Seung-jae,DOO,3
pang--000soo,Bang,Su-hwan,KIA,1
pang--001soo,Bang,Su-won,KIA,8
kbo_66709,Bang,Yun-jun,HH,1
banwar001tra,Banwart,Travis,SSG,2
banwar001tra,Banwart,Travis,kt,1
barnes001bra,Barnes,Brandon,HH,1
barnes006cha,Barnes,Charlie,LOT,4
barria000jai,Barria,Jaime,HH,1
bass--001bri,Bass,Brian,HH,1
bass--001jay,Bass,Jayson,KIA,1
bauer-002ric,Bauer,Rick,LG,1
bautis001den,Bautista,Denny,HH,3
bell--005cha,Bell,Chadwick,HH,2
bell--005jos,Bell,Josh,LG,1
below-001dua,Below,Duane,KIA,1
benjam000wes,Benjamin,Wes,kt,3
bennet001sha,Bennett,Shayne,DOO,1
bernad001rog,Bernadina,Roger,KIA,2
berroa001ger,Berroa,Geronimo,LOT,1
betanc001chr,Bethancourt,Christian,NC,1
black-001dan,Black,Dan,kt,1
blackl001tra,Blackley,Travis,KIA,1
blank-001cla,Blank,Matt,KIA,1
bong--001jun,Bong,Jung-geun,LG,10
bong--000min,Bong,Min-ho,SAM,1
bong--000min,Bong,Min-ho,SSG,1
bonill001lis,Bonilla,Lisalverto,SAM,1
bootch001chr,Bootcheck,Chris,LOT,1
bour--001jus,Bour,Justin,LG,1
bowden001mic,Bowdent,Michael,DOO,2
bowers001ced,Bowers,Cedrick,HH,1
brady-001ste,Brady,Doug,LOT,1
kbo_99640,Briggs,William,KIA,1
brigha001jac,Brigham,Jake,KIW,5
brito-001soc,Brito,Socrates,KIA,3
brito-001til,Brito,Tilson,HH,1
brito-001til,Brito,Tilson,SAM,2
brito-001til,Brito,Tilson,SSG,3
brooks000aar,Brooks,Aaron,KIA,2
brown-004and,Brown,Andrew,SSG,1
brown-019jam,Brown,Jamie,LG,1
brown-019jam,Brown,Jamie,SAM,2
brumba001cli,Brumbaugh,Cliff,KIW,2
buchan001dav,Buchanan,David,SAM,4
bueno-001fra,Bueno,Francisley,HH,1
burns-001and,Burns,Andy,LOT,2
burnsi001adr,Burnside,Adrian,KIW,1
busch-001mic,Busch,Michael,HH,1
bush--002dav,Bush,David,SSG,1
